[WARNING] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.495.130 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.888.005 [MINDCONVERTER] Line 854 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.890.478 [MINDCONVERTER] Line 857 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.892.961 [MINDCONVERTER] Line 860 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.895.436 [MINDCONVERTER] Line 863 start converting API: nn.MaxPool2d
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.899.511 [MINDCONVERTER] RSU7.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.899.581 [MINDCONVERTER] Line 876: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.902.968 [MINDCONVERTER] Line 900 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.905.812 [MINDCONVERTER] Line 903 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.908.736 [MINDCONVERTER] Line 906 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.911.541 [MINDCONVERTER] Line 909 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.914.328 [MINDCONVERTER] Line 912 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.917.121 [MINDCONVERTER] Line 915 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.919.230 [MINDCONVERTER] Line 921: start converting nn.Module RSU6
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.919.311 [MINDCONVERTER] Line 923: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.921.381 [MINDCONVERTER] Line 929 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.923.841 [MINDCONVERTER] Line 932 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.926.296 [MINDCONVERTER] Line 935 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.928.772 [MINDCONVERTER] Line 938 start converting API: nn.MaxPool2d
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.932.545 [MINDCONVERTER] RSU6.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.932.619 [MINDCONVERTER] Line 950: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.935.594 [MINDCONVERTER] Line 971 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.938.398 [MINDCONVERTER] Line 974 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.941.187 [MINDCONVERTER] Line 977 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.943.972 [MINDCONVERTER] Line 980 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.946.761 [MINDCONVERTER] Line 983 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.948.853 [MINDCONVERTER] Line 991: start converting nn.Module RSU5
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.948.931 [MINDCONVERTER] Line 993: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.951.009 [MINDCONVERTER] Line 999 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.953.457 [MINDCONVERTER] Line 1002 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.955.912 [MINDCONVERTER] Line 1005 start converting API: nn.MaxPool2d
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.959.357 [MINDCONVERTER] RSU5.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.959.427 [MINDCONVERTER] Line 1016: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.962.052 [MINDCONVERTER] Line 1034 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.964.862 [MINDCONVERTER] Line 1037 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.967.638 [MINDCONVERTER] Line 1040 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.973.276 [MINDCONVERTER] Line 1043 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.975.757 [MINDCONVERTER] Line 1051: start converting nn.Module RSU4
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.975.848 [MINDCONVERTER] Line 1053: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.978.065 [MINDCONVERTER] Line 1059 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.980.749 [MINDCONVERTER] Line 1062 start converting API: nn.MaxPool2d
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.984.014 [MINDCONVERTER] RSU4.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.984.087 [MINDCONVERTER] Line 1072: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.986.364 [MINDCONVERTER] Line 1087 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.989.220 [MINDCONVERTER] Line 1090 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.992.183 [MINDCONVERTER] Line 1093 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.994.317 [MINDCONVERTER] Line 1099: start converting nn.Module RSU4F
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.994.407 [MINDCONVERTER] RSU4F.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.994.466 [MINDCONVERTER] Line 1116: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.996.410 [MINDCONVERTER] Line 1127 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.998.980 [MINDCONVERTER] Line 1128 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.001.559 [MINDCONVERTER] Line 1129 start converting API: torch.cat
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.003.675 [MINDCONVERTER] Line 1135: start converting nn.Module U2NETFAST
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.003.757 [MINDCONVERTER] Line 1137: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.005.354 [MINDCONVERTER] Line 1140 start converting API: nn.Conv2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.008.438 [MINDCONVERTER] Line 1144 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.010.918 [MINDCONVERTER] Line 1147 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.013.384 [MINDCONVERTER] Line 1150 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.015.907 [MINDCONVERTER] Line 1153 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.018.365 [MINDCONVERTER] Line 1156 start converting API: nn.MaxPool2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:36.022.170 [MINDCONVERTER] Line 1167 start converting API: nn.Conv2d
